state,group,status,count
Australian Capital Territory,Amphibians,Critically Endangered,1
Australian Capital Territory,Amphibians,Endangered,1
Australian Capital Territory,Amphibians,Vulnerable,1
Australian Capital Territory,Birds,Critically Endangered,2
Australian Capital Territory,Birds,Endangered,3
Australian Capital Territory,Birds,Vulnerable,11
Australian Capital Territory,Fish,Endangered,2
Australian Capital Territory,Fish,Vulnerable,1
Australian Capital Territory,Mammals,Endangered,1
Australian Capital Territory,Mammals,Vulnerable,3
Australian Capital Territory,Reptiles,Endangered,1
Australian Capital Territory,Reptiles,Vulnerable,1
New South Wales,Amphibians,Critically Endangered,3
New South Wales,Amphibians,Endangered,9
New South Wales,Amphibians,Vulnerable,6
New South Wales,Birds,Critically Endangered,7
New South Wales,Birds,Endangered,15
New South Wales,Birds,Extinct,4
New South Wales,Birds,Vulnerable,37
New South Wales,Fish,Conservation Dependent,4
New South Wales,Fish,Critically Endangered,5
New South Wales,Fish,Endangered,5
New South Wales,Fish,Vulnerable,4
New South Wales,Mammals,Endangered,10
New South Wales,Mammals,Extinct,2
New South Wales,Mammals,Vulnerable,12
New South Wales,Reptiles,Critically Endangered,2
New South Wales,Reptiles,Endangered,13
New South Wales,Reptiles,Vulnerable,8
Northern Territory,Birds,Critically Endangered,3
Northern Territory,Birds,Endangered,6
Northern Territory,Birds,Vulnerable,16
Northern Territory,Fish,Conservation Dependent,1
Northern Territory,Fish,Critically Endangered,1
Northern Territory,Fish,Vulnerable,1
Northern Territory,Mammals,Critically Endangered,1
Northern Territory,Mammals,Endangered,5
Northern Territory,Mammals,Extinct,1
Northern Territory,Mammals,Vulnerable,10
Northern Territory,Reptiles,Critically Endangered,2
Northern Territory,Reptiles,Endangered,5
Northern Territory,Reptiles,Vulnerable,5
Queensland,Amphibians,Critically Endangered,6
Queensland,Amphibians,Endangered,5
Queensland,Amphibians,Extinct,1
Queensland,Amphibians,Vulnerable,3
Queensland,Birds,Critically Endangered,8
Queensland,Birds,Endangered,12
Queensland,Birds,Extinct,1
Queensland,Birds,Vulnerable,32
Queensland,Fish,Conservation Dependent,3
Queensland,Fish,Critically Endangered,6
Queensland,Fish,Endangered,4
Queensland,Fish,Vulnerable,3
Queensland,Mammals,Endangered,10
Queensland,Mammals,Extinct,5
Queensland,Mammals,Vulnerable,13
Queensland,Reptiles,Critically Endangered,9
Queensland,Reptiles,Endangered,8
Queensland,Reptiles,Vulnerable,9
South Australia,Birds,Critically Endangered,6
South Australia,Birds,Endangered,18
South Australia,Birds,Extinct,1
South Australia,Birds,Vulnerable,37
South Australia,Fish,Conservation Dependent,2
South Australia,Fish,Critically Endangered,3
South Australia,Fish,Endangered,4
South Australia,Fish,Vulnerable,3
South Australia,Mammals,Critically Endangered,1
South Australia,Mammals,Endangered,9
South Australia,Mammals,Extinct,6
South Australia,Mammals,Vulnerable,11
South Australia,Reptiles,Endangered,1
South Australia,Reptiles,Vulnerable,4
Tasmania,Birds,Critically Endangered,3
Tasmania,Birds,Endangered,9
Tasmania,Birds,Extinct,1
Tasmania,Birds,Vulnerable,26
Tasmania,Fish,Conservation Dependent,3
Tasmania,Fish,Critically Endangered,2
Tasmania,Fish,Endangered,4
Tasmania,Fish,Extinct in the wild,1
Tasmania,Fish,Vulnerable,6
Tasmania,Mammals,Endangered,4
Tasmania,Mammals,Vulnerable,4
Tasmania,Reptiles,Endangered,1
Tasmania,Reptiles,Vulnerable,1
Victoria,Amphibians,Critically Endangered,2
Victoria,Amphibians,Endangered,3
Victoria,Amphibians,Vulnerable,1
Victoria,Birds,Critically Endangered,6
Victoria,Birds,Endangered,14
Victoria,Birds,Vulnerable,34
Victoria,Fish,Conservation Dependent,3
Victoria,Fish,Critically Endangered,10
Victoria,Fish,Endangered,7
Victoria,Fish,Vulnerable,4
Victoria,Mammals,Critically Endangered,2
Victoria,Mammals,Endangered,6
Victoria,Mammals,Extinct,4
Victoria,Mammals,Vulnerable,8
Victoria,Reptiles,Critically Endangered,1
Victoria,Reptiles,Endangered,4
Victoria,Reptiles,Vulnerable,2
Western Australia,Amphibians,Vulnerable,2
Western Australia,Birds,Critically Endangered,2
Western Australia,Birds,Endangered,14
Western Australia,Birds,Vulnerable,28
Western Australia,Fish,Conservation Dependent,3
Western Australia,Fish,Endangered,3
Western Australia,Fish,Vulnerable,4
Western Australia,Mammals,Endangered,8
Western Australia,Mammals,Extinct,3
Western Australia,Mammals,Vulnerable,16
Western Australia,Reptiles,Critically Endangered,3
Western Australia,Reptiles,Endangered,4
Western Australia,Reptiles,Vulnerable,8
